5,Precious Achiuwa,SF,8-Jun,243,25,New York Knicks,4,Memphis,2020 Rnd 1 Pick 20,Nigeria
12,Steven Adams,C,11-Jun,265,31,Houston Rockets,11,Pittsburgh,2013 Rnd 1 Pick 12,New Zealand
13,Bam Adebayo,C,9-Jun,255,27,Miami Heat,7,Kentucky,2017 Rnd 1 Pick 14,United States
30,Ochai Agbaji,SF,5-Jun,215,24,Toronto Raptors,2,Kansas,2022 Rnd 1 Pick 14,United States
7,Santi Aldama,C,Jul-00,215,23,Memphis Grizzlies,3,Loyola (MD),2021 Rnd 1 Pick 30,Spain
23,Trey Alexander,SG,4-Jun,185,22,Denver Nuggets,0,Creighton,"2024 NBA Draft, Undrafted",United States
9,Nickeil Alexander-Walker,SG,5-Jun,205,26,Minnesota Timberwolves,5,Virginia Tech,2019 Rnd 1 Pick 17,Canada
8,Grayson Allen,SG,4-Jun,198,29,Phoenix Suns,6,Duke,2018 Rnd 1 Pick 21,United States
31,Jarrett Allen,C,9-Jun,243,26,Cleveland Cavaliers,7,Texas,2017 Rnd 1 Pick 22,United States
15,Jose Alvarado,G,Jun-00,179,26,New Orleans Pelicans,3,Georgia Tech,"2021 NBA Draft, Undrafted",United StatesPuerto Rico
1,Kyle Anderson,PF,9-Jun,230,31,Golden State Warriors,10,UCLA,2014 Rnd 1 Pick 30,United StatesChina
34,Giannis Antetokounmpo,F,11-Jun,243,29,Milwaukee Bucks,11,Filathlitikos Div II Greece (Greece),2013 Rnd 1 Pick 15,GreeceNigeria
50,Cole Anthony,PG,2-Jun,185,24,Orlando Magic,4,North Carolina,2020 Rnd 1 Pick 15,United States
8,OG Anunoby,SF,7-Jun,240,27,New York Knicks,7,Indiana,2017 Rnd 1 Pick 23,EnglandUnited States
8,Deni Avdija,SG,9-Jun,210,23,Portland Trail Blazers,4,Maccabi Tel Aviv U18 (Israel),2020 Rnd 1 Pick 9,Israel
2,Deandre Ayton,C,Jul-00,247,26,Portland Trail Blazers,6,Arizona,2018 Rnd 1 Pick 1,Bahamas
35,Marvin Bagley III,PF,10-Jun,235,25,Washington Wizards,6,Duke,2018 Rnd 1 Pick 2,United States
7,"Patrick Baldwin, Jr.",SG,9-Jun,220,21,Washington Wizards,2,Milwaukee,2022 Rnd 1 Pick 28,United States
1,LaMelo Ball,G,7-Jun,180,23,Charlotte Hornets,4,Illawarra (Australia),2020 Rnd 1 Pick 3,United States
2,Lonzo Ball,PG,6-Jun,190,26,Chicago Bulls,7,UCLA,2017 Rnd 1 Pick 2,United States
4,Mohamed Bamba,C,Jul-00,231,26,Los Angeles Clippers,6,Texas,2018 Rnd 1 Pick 6,United States
5,Paolo Banchero,C,10-Jun,250,21,Orlando Magic,2,Duke,2022 Rnd 1 Pick 1,United StatesItaly
22,Desmond Bane,SG,5-Jun,215,26,Memphis Grizzlies,4,TCU,2020 Rnd 1 Pick 30,United States
5,Dalano Banton,PG,8-Jun,204,24,Portland Trail Blazers,3,Nebraska,2021 Rnd 2 Pick 16,Canada
0,Dominick Barlow,F,8-Jun,215,22,Atlanta Hawks,2,Overtime Elite (Georgia),"2022 NBA Draft, Undrafted",United States
40,Harrison Barnes,SF,8-Jun,225,32,San Antonio Spurs,12,North Carolina,2012 Rnd 1 Pick 7,United States
4,Scottie Barnes,SF,7-Jun,237,23,Toronto Raptors,3,Florida State,2021 Rnd 1 Pick 4,United States
9,R.J. Barrett,SG,6-Jun,214,24,Toronto Raptors,5,Duke,2019 Rnd 1 Pick 3,Canada
28,Charles Bassey,PF,10-Jun,230,23,San Antonio Spurs,3,Western Kentucky,2021 Rnd 2 Pick 23,NigeriaUnited States
21,Emoni Bates,SF,8-Jun,170,21,Cleveland Cavaliers,1,Eastern Michigan,2023 Rnd 2 Pick 19,United States
77,Jamison Battle,SF,7-Jun,220,23,Toronto Raptors,0,Ohio State,"2024 NBA Draft, Undrafted",United States
33,Nicolas Batum,F,8-Jun,230,35,Los Angeles Clippers,16,Le Mans Sarthe Basket (France),2008 Rnd 1 Pick 25,France
3,Bradley Beal,SG,4-Jun,207,31,Phoenix Suns,12,Florida,2012 Rnd 1 Pick 3,United States
5,Malik Beasley,SG,4-Jun,187,27,Detroit Pistons,8,Florida State,2016 Rnd 1 Pick 19,United States
3,MarJon Beauchamp,SG,7-Jun,199,24,Milwaukee Bucks,2,NBA G League Ignite,2022 Rnd 1 Pick 24,United States
3,Reece Beekman,PG,3-Jun,190,23,Golden State Warriors,0,Virginia,"2024 NBA Draft, Undrafted",United States
14,Saddiq Bey,F,7-Jun,215,25,Washington Wizards,4,Villanova,2020 Rnd 1 Pick 19,United States
35,Goga Bitadze,C,10-Jun,250,25,Orlando Magic,5,KK Mega Bemax (Serbia),2019 Rnd 1 Pick 18,Georgia
0,Anthony Black,G,7-Jun,200,20,Orlando Magic,1,Arkansas,2023 Rnd 1 Pick 6,United States
13,Bogdan Bogdanovic,SG,5-Jun,225,32,Atlanta Hawks,7,KK Partizan (Serbia),2014 Rnd 1 Pick 27,Serbia
